user_id,time,drinking,caffeine,T-A,heart,floors,steps
18,2021-12-06 22:52:12,0,0,44.97668985032647,68,0.0,0.0
18,2021-12-07 07:24:59,0,0,59.83130049483584,77,0.0,0.0
18,2021-12-07 12:13:02,0,0,54.55557203470192,76,0.0,0.0
18,2021-12-07 22:02:26,0,0,58.48841271676067,71,0.0,0.0
18,2021-12-07 22:06:43,0,0,51.38232703275227,70,0.0,0.0
18,2021-12-08 08:29:53,0,0,56.96970946990452,78,0.0,0.0
18,2021-12-08 16:20:50,0,1,55.94396292956843,94,0.0,0.0
18,2021-12-08 18:40:01,0,0,44.52656358180106,65,0.0,0.0
18,2021-12-08 23:36:10,0,0,44.15793762163014,73,0.0,0.0
18,2021-12-09 07:01:36,0,0,56.56204984899082,65,0.0,0.0
18,2021-12-09 13:21:50,0,0,57.38817655706927,98,0.0,0.0
18,2021-12-09 18:28:13,0,0,54.596026981431166,73,0.0,0.0
18,2021-12-10 01:26:20,1,0,56.500836066631535,83,0.0,0.0
5,2021-11-10 14:53:44,0,0,51.18124884643724,78,0.0,0.0
5,2021-11-10 19:54:51,0,0,49.39028923915031,94,0.0,0.0
5,2021-11-10 22:32:51,0,0,45.52786404500042,76,0.0,0.0
5,2021-11-11 06:28:52,0,0,45.61447627675807,67,0.0,0.0
5,2021-11-11 13:52:30,0,0,46.69686052553988,88,0.0,0.0
5,2021-11-11 18:55:23,0,0,55.83459965991578,88,0.0,0.0
5,2021-11-12 02:08:09,0,0,57.26752374667264,71,0.0,0.0
5,2021-11-12 06:34:28,0,0,57.537783614444095,96,0.0,0.0
5,2021-11-12 08:31:04,0,0,44.52277442494834,94,0.0,0.0
5,2021-11-12 11:52:42,0,0,44.52277442494834,79,0.0,0.0
5,2021-11-12 18:10:47,0,1,43.47270087993381,84,0.0,0.0
5,2021-11-13 00:41:04,0,0,45.52786404500042,84,0.0,0.0
5,2021-11-13 11:07:30,0,1,45.52786404500042,82,0.0,0.0
5,2021-11-13 16:29:36,0,0,44.83899770388921,75,0.0,0.0
12,2021-11-19 11:37:37,0,0,42.57218647291792,79,0.0,0.0
12,2021-11-19 18:04:06,0,0,42.15535459447264,85,0.0,0.0
12,2021-11-19 22:53:47,0,0,48.94000211999364,85,0.0,0.0
12,2021-11-20 09:01:09,0,1,39.43458912409251,84,0.0,0.0
12,2021-11-20 11:04:35,0,0,43.833301611552216,84,0.0,0.0
12,2021-11-20 18:04:50,0,0,44.43109901076989,83,0.0,0.0
12,2021-11-20 22:04:06,0,0,52.91729982995789,106,0.0,0.0
12,2021-11-21 06:22:53,0,0,48.03883864861816,112,0.0,0.0
12,2021-11-21 16:04:17,0,0,49.14564234228324,90,0.0,0.0
12,2021-11-21 18:04:36,0,0,50.0,74,0.0,0.0
12,2021-11-21 22:24:20,0,0,42.07594184306939,101,0.0,0.0
12,2021-11-22 11:46:37,0,0,45.03861061643166,86,0.0,0.0
12,2021-11-22 11:56:50,0,0,49.45846963892612,92,0.0,0.0
14,2021-11-21 13:22:53,0,1,44.43141182058445,83,0.0,0.0
14,2021-11-21 19:13:10,0,0,45.63564219528016,81,0.0,0.0
14,2021-11-22 06:56:47,0,0,42.15535459447264,100,0.0,0.0
14,2021-11-22 06:58:27,0,0,42.275401532273456,107,0.0,23.0
14,2021-11-22 11:03:37,0,1,43.833735840217926,73,0.0,0.0
14,2021-11-22 20:37:40,0,1,43.50480947161671,68,0.0,0.0
14,2021-11-22 22:02:03,0,0,41.8076807948096,70,0.0,0.0
14,2021-11-23 06:26:31,0,0,44.133678549602834,84,0.0,0.0
14,2021-11-23 11:53:58,0,0,44.2168506803376,93,0.0,0.0
14,2021-11-23 18:02:08,0,1,44.52277442494834,69,0.0,0.0
14,2021-11-23 22:02:05,0,0,44.67799855111206,73,0.0,0.0
14,2021-11-24 07:14:45,0,0,44.3019711770181,98,0.0,0.0
14,2021-11-24 11:01:43,0,1,44.52277442494834,78,0.0,0.0
